damping,strategy,annual_return,annual_volatility,sharpe,sortino,max_drawdown,calmar,var_95_daily,annual_turnover,positive_days_pct,trading_days
1.0,xgb,0.03125528432946045,0.2039587766033267,0.19619353803097858,0.27143667592746323,-0.4040243360502147,0.0773599051854536,0.01920690100310766,,0.5313199105145414,1788
1.0,xgb_sentiment,0.04224356082541458,0.2021967092291182,0.24875422434668062,0.3411772612537524,-0.3960968436362954,0.10664957700143535,0.01871079159762089,,0.5302013422818792,1788
1.0,markowitz,0.1385844476964473,0.16141589640581724,0.8132803487327696,1.120362692702901,-0.2769351006654194,0.5004221110413838,0.01587034723699216,,0.5531319910514542,1788
1.0,hrp,0.1106860117843036,0.14950519582575256,0.6997802760703565,0.9441703236515891,-0.33212175360207996,0.3332693826400729,0.013152915604175959,,0.5536912751677853,1788
1.0,equal_weight,0.14236017134779377,0.17559492923770137,0.7802916702121208,1.066760533237276,-0.3639361627548845,0.3911679737187181,0.015415273120909958,,0.5615212527964206,1788
0.5,xgb,0.07692249255963457,0.1925854355101017,0.42101741264938264,0.5882530166628216,-0.3770628100530342,0.20400445365804004,0.01829920661024697,,0.54082774049217,1788
0.5,xgb_sentiment,0.08777142828955742,0.18861160259786441,0.4791645554766754,0.6642243077150543,-0.36924422135060997,0.23770562466356232,0.01730279721198774,,0.5385906040268457,1788
0.5,markowitz,0.14101692038727265,0.16210433144774558,0.8237329859107226,1.1323540255595101,-0.2881385420604805,0.48940665618302837,0.016079071710883384,,0.5592841163310962,1788
0.5,hrp,0.11363267954134693,0.14942709173875304,0.7177947936745679,0.9696855745093779,-0.32971545890337695,0.3446386163369033,0.013105371897831905,,0.5559284116331096,1788
0.5,equal_weight,0.14256889053880717,0.1750579605316259,0.783196269632338,1.0696281253953799,-0.362456572224795,0.3933406136456705,0.015411519797632438,,0.5620805369127517,1788
0.3,xgb,0.09610690610763117,0.18583244864658183,0.5244384437934354,0.7352408840030549,-0.3577757907454532,0.26862327914190365,0.017351599501522832,,0.5419463087248322,1788
0.3,xgb_sentiment,0.10503297180767479,0.18145178736618378,0.5775249107417482,0.8026180251371482,-0.3522498910006798,0.29817744303424665,0.016673149851951157,,0.5447427293064877,1788
0.3,markowitz,0.14405180953750651,0.16274977842177513,0.8374698694503386,1.149079463943115,-0.2969085035663468,0.48517239421307745,0.01624513888503746,,0.5609619686800895,1788
0.3,hrp,0.11496073997192102,0.1493572349469319,0.7260349942211641,0.9812752051017295,-0.32791769181047903,0.35057803480259586,0.013112407534662274,,0.5592841163310962,1788
0.3,equal_weight,0.14296593109899924,0.17467437185307857,0.7865283357774818,1.0731305797235486,-0.36185009611481145,0.39509712069728886,0.015414889864373638,,0.5620805369127517,1788
0.15,xgb,0.11451239578472094,0.175068731549862,0.6407601511970998,0.894409031338212,-0.33083651879593734,0.3461298535043319,0.016304952135204404,,0.5503355704697986,1788
0.15,xgb_sentiment,0.12084454629237618,0.17165427814964035,0.683194114265896,0.9469328758217244,-0.32914740458642433,0.3671441567167089,0.015428919051401207,,0.5508948545861297,1788
0.15,markowitz,0.14929122280721452,0.1642710898899234,0.8590931294626832,1.1774196862942394,-0.3124728699778271,0.47777339139173314,0.01625989371463845,,0.5626398210290827,1788
0.15,hrp,0.1170370625317243,0.14945762831383433,0.738090639816386,0.9981622932783455,-0.3250733853818111,0.36003274274287267,0.013196612947226597,,0.5620805369127517,1788
0.15,equal_weight,0.14417626808313888,0.17430885476087568,0.7938970630121621,1.0817405024968016,-0.36116071427726704,0.3992025222667302,0.015433498618044045,,0.5609619686800895,1788
