Type,Asset,Ticker,Forecast date,Starting price date,Actual price date,Starting price,XGBoost predicted price,Sentiment predicted price,Markowitz predicted price,Actual price,XGBoost return,Sentiment return,Markowitz return,Actual return,Sentiment adjustment
ETF,iShares STOXX Europe 600 UCITS ETF,EXSA.DE,31 Dec 2025,30 Dec 2025,30 Jan 2026,57.81352233886719,57.70534360217772,57.74912370966127,58.37665368366814,59.72748565673828,-0.0018711666806148402,-0.001113902536995625,0.009740478040763983,0.033105807092199235,0.0007572641436192152
Stock,Mercedes-Benz Group AG,MBG.DE,31 Dec 2025,30 Dec 2025,30 Jan 2026,56.12913513183594,56.77164546316671,56.8763427795296,56.29551224061096,53.998714447021484,0.011447002164235165,0.013312295761169827,0.002964184436197637,-0.03795570125587233,0.001865293596934662
Stock,Volkswagen AG Preference Shares,VOW3.DE,31 Dec 2025,30 Dec 2025,30 Jan 2026,97.0735092163086,97.8167806835568,97.97491193112799,97.1414640352074,96.22979736328125,0.007656789923932648,0.009285774482622286,0.0007000346381565375,-0.00869147370728407,0.001628984558689638
Stock,Capgemini SE,CAP.PA,31 Dec 2025,31 Dec 2025,30 Jan 2026,137.81690979003906,139.39326981434562,139.37847798841173,137.32028369312116,127.11127471923828,0.011438074084726657,0.011330744541810515,-0.0036035207702342733,-0.07768012711292516,-0.00010732954291614236
Stock,Airbus SE,AIR.PA,31 Dec 2025,31 Dec 2025,30 Jan 2026,194.8004913330078,196.53152685314262,196.6545205923727,197.7918727034075,189.89120483398438,0.008886196889389023,0.009517579995193422,0.01535612846728379,-0.025201612508415572,0.0006313831058043992
