Date,EXH8.DE,SAP.DE,SIE.DE,MC.PA,NESN.SW
2026-01-02,45.52927780151367,198.5796661376953,236.0810089111328,631.5026245117188,
2026-01-05,45.57841873168945,202.7587432861328,239.50814819335938,632.486572265625,73.44121551513672
2026-01-06,45.93714904785156,198.67800903320312,242.396728515625,634.0609741210938,73.17220306396484
2026-01-07,46.35976028442383,204.92201232910156,250.91561889648438,619.2031860351562,71.60614013671875
2026-01-08,46.104225158691406,203.05372619628906,246.55825805664062,624.3197631835938,71.44281768798828
2026-01-09,46.349937438964844,208.8061065673828,248.90829467773438,641.6373291015625,72.45162200927734
2026-01-12,46.551414489746094,209.54359436035156,252.97190856933594,637.8983154296875,72.048095703125
2026-01-13,46.44821548461914,209.8877410888672,256.3011169433594,636.2255859375,72.2498550415039
2026-01-14,46.084571838378906,202.66041564941406,253.65731811523438,627.6652221679688,73.5468978881836
2026-01-15,45.83589172363281,202.16876220703125,255.41986083984375,615.6609497070312,73.51807403564453
2026-01-16,45.96965789794922,198.7763214111328,254.8323516845703,599.4257202148438,72.28829193115234
2026-01-19,45.801212310791016,192.68963623046875,250.6708221435547,573.4492797851562,71.75987243652344
2026-01-20,45.33552551269531,190.76234436035156,248.418701171875,560.8546142578125,71.03929138183594
2026-01-21,45.43460464477539,187.8517303466797,247.83119201660156,575.810791015625,70.11695861816406
2026-01-22,45.84084701538086,186.67176818847656,252.62918090820312,586.142333984375,70.31871795654297
2026-01-23,45.54359817504883,194.61692810058594,249.1041259765625,581.9113159179688,69.62696075439453
2026-01-26,45.360294342041016,197.5963592529297,249.25100708007812,578.5658569335938,69.03128051757812
2026-01-27,45.603050231933594,192.27664184570312,248.12493896484375,579.844970703125,69.99205017089844
2026-01-28,45.66745376586914,192.8666229248047,245.67698669433594,534.091064453125,69.6942138671875
2026-01-29,45.211669921875,161.87266540527344,250.62185668945312,533.697509765625,70.59734344482422
2026-01-30,45.68727111816406,167.71353149414062,250.96456909179688,538.1253051757812,70.54930114746094
2026-02-02,46.24708938598633,172.17776489257812,254.93026733398438,529.6632080078125,72.54769897460938
2026-02-03,45.023414611816406,164.21295166015625,255.2729949951172,520.512451171875,73.0953369140625
2026-02-04,45.97956466674805,164.40960693359375,236.96226501464844,527.49853515625,75.02648162841797
2026-02-05,45.52873611450195,167.63487243652344,239.41021728515625,529.5648803710938,75.35314178466797
2026-02-06,45.801212310791016,168.36251831054688,245.28530883789062,527.596923828125,75.79509735107422
2026-02-09,45.632774353027344,172.00076293945312,250.62185668945312,526.809814453125,75.31471252441406
