Type,Asset,Ticker,Information date,Actual end date,Actual sessions,Information price,XGBoost predicted price,Sentiment predicted price,Markowitz predicted price,Actual price,XGBoost return,Sentiment return,Markowitz return,Actual return,Sentiment adjustment
ETF,iShares STOXX Europe 600 Retail UCITS ETF,EXH8.DE,31 Dec 2025,30 Jan 2026,21,45.5341911315918,45.874016648730425,45.86412730834486,46.02921513891186,45.68727111816406,0.007463084523815381,0.007245899587840849,0.010871479102142471,0.003361869021234476,-0.00021718493597453186
Stock,SAP SE,SAP.DE,31 Dec 2025,30 Jan 2026,21,204.87286376953125,209.2034982406427,209.00182263303168,209.0332426986142,167.71353149414062,0.02113815559284185,0.020153761642855986,0.020307125368067766,-0.1813775216086816,-0.0009843939499858644
Stock,Siemens AG,SIE.DE,31 Dec 2025,30 Jan 2026,21,234.1715850830078,234.6608550155602,234.75505493594093,238.0206377117901,250.96456909179688,0.002089365079793791,0.002491633870635072,0.016436890186389948,0.07171230447467125,0.0004022687908412808
Stock,LVMH,MC.PA,31 Dec 2025,30 Jan 2026,21,634.6513061523438,641.3012732552617,640.0206448747812,631.8511237377675,538.1253051757812,0.01047814293999363,0.008460297285118117,-0.004412158909043773,-0.1520929682816915,-0.002017845654875514
Stock,Nestlé SA,NESN.SW,31 Dec 2025,02 Feb 2026,21,81.43880537443238,82.23923575443764,82.15846454623401,81.06908058616925,72.54769897460938,0.009828611511737171,0.008836809043217791,-0.004539909279897216,-0.10917530480640325,-0.0009918024685193795
