Date,EXSA.DE,MBG.DE,VOW3.DE,CAP.PA,AIR.PA
2025-12-24,,,,137.23561096191406,192.40476989746094
2025-12-29,57.50768280029297,55.85816192626953,96.60478210449219,138.0591278076172,192.4440460205078
2025-12-30,57.81352233886719,56.12913513183594,97.0735092163086,138.6404266357422,195.33070373535156
2025-12-31,,,,137.81690979003906,194.8004913330078
2026-01-02,58.23775100708008,57.86711120605469,99.79212951660156,136.36366271972656,200.00433349609375
2026-01-05,58.76063919067383,56.47486114501953,96.88601684570312,139.36705017089844,204.22633361816406
2026-01-06,59.086204528808594,57.418601989746094,96.65164947509766,138.7373046875,205.60092163085938
2026-01-07,59.06647491455078,56.40011215209961,95.80793762207031,142.51577758789062,209.87200927734375
2026-01-08,58.94808578491211,56.02635192871094,95.4329605102539,142.8548583984375,211.2957000732422
2026-01-09,59.5893669128418,56.409454345703125,97.35474395751953,146.14891052246094,211.19752502441406
2026-01-12,59.688018798828125,55.85816192626953,96.08917999267578,139.94834899902344,212.2284698486328
2026-01-13,59.628822326660156,55.93291473388672,95.71419525146484,142.32199096679688,216.20498657226562
2026-01-14,59.70775604248047,56.71780776977539,97.21412658691406,143.0001983642578,211.54116821289062
2026-01-15,60.05305480957031,55.44702911376953,96.41728973388672,138.97950744628906,210.95205688476562
2026-01-16,60.06291961669922,54.961143493652344,95.0579833984375,137.1871795654297,213.45578002929688
2026-01-19,59.263790130615234,53.76511764526367,92.43310546875,132.82740783691406,206.58277893066406
2026-01-20,58.82969665527344,53.12038040161133,91.27066040039062,129.1458282470703,204.17723083496094
2026-01-21,58.809967041015625,53.970680236816406,92.67684173583984,129.38804626464844,203.63720703125
2026-01-22,59.47097396850586,54.95180130004883,98.71405792236328,131.76168823242188,202.99900817871094
2026-01-23,59.42164611816406,54.475257873535156,98.90154266357422,132.1007843017578,203.04811096191406
2026-01-26,59.51043701171875,54.12018585205078,97.635986328125,132.1492156982422,198.72792053222656
2026-01-27,59.865604400634766,53.19513702392578,95.90169525146484,129.96932983398438,195.7823486328125
2026-01-28,59.39204788208008,53.643646240234375,96.41728973388672,127.40192413330078,191.52108764648438
2026-01-29,59.273658752441406,53.54085922241211,97.0735092163086,123.86567687988281,190.48033142089844
2026-01-30,59.72748565673828,53.998714447021484,96.22979736328125,127.11127471923828,189.89120483398438
2026-02-02,60.35889434814453,54.58738327026367,96.32354736328125,130.1146697998047,190.28396606445312
2026-02-03,60.33916473388672,54.69016647338867,95.85481262207031,118.14954376220703,186.78854370117188
2026-02-04,60.36875915527344,56.9514045715332,99.37027740478516,115.38835906982422,184.84446716308594
2026-02-05,59.8064079284668,55.119991302490234,95.71419525146484,114.37108612060547,186.08160400390625
2026-02-06,60.309566497802734,54.92376708984375,94.4486312866211,111.80367279052734,187.82931518554688
2026-02-09,60.72392654418945,54.48460388183594,94.5892562866211,110.15664672851562,189.63592529296875
2026-02-10,60.68446731567383,54.53132247924805,98.0109634399414,110.05976104736328,188.1435089111328
2026-02-11,60.773258209228516,54.14822006225586,97.0735092163086,101.04959106445312,183.8429718017578
2026-02-12,60.49701690673828,53.36332702636719,95.90169525146484,96.63169860839844,186.96527099609375
2026-02-13,60.4180908203125,53.839866638183594,96.65164947509766,101.58245086669922,188.92898559570312
2026-02-16,60.50688552856445,53.86790084838867,95.90169525146484,98.5306167602539,193.6222686767578
2026-02-17,60.832454681396484,54.99851989746094,97.448486328125,100.4682846069336,192.93496704101562
2026-02-18,61.532920837402344,55.50309371948242,97.58910369873047,102.01842498779297,197.00967407226562
2026-02-19,61.22708511352539,54.89573669433594,96.18292236328125,100.71049499511719,183.7055206298828
2026-02-20,61.779563903808594,55.35359191894531,96.08917999267578,101.24335479736328,186.29762268066406
2026-02-23,61.444129943847656,54.475257873535156,93.65179443359375,98.7243881225586,179.81735229492188
2026-02-24,61.59211730957031,55.063926696777344,95.24546813964844,99.25724029541016,179.52279663085938
2026-02-25,62.05581283569336,55.119991302490234,93.68929290771484,98.09464263916016,181.13304138183594
