strategy,annual_return,annual_volatility,sharpe,sortino,max_drawdown,calmar,var_95_daily,annual_turnover,positive_days_pct,trading_days,period
markowitz,0.2636492295103008,0.13091764679404222,1.8813159017699148,2.6251240245138248,-0.05351152308947171,4.926961788575464,0.015443491654085139,,0.5949367088607594,237,2019 calm bull
hrp,0.23835136201356844,0.10520061105129139,2.119916489405169,3.026281596142416,-0.06499491188632822,3.667231096957699,0.012002938926397,,0.6075949367088608,237,2019 calm bull
xgb,0.09609148913076915,0.1152732852515938,0.8850248899309137,1.2228009219967133,-0.07127779015785385,1.3481266593417411,0.01205026881264512,,0.5738396624472574,237,2019 calm bull
xgb_sentiment,0.1840921820486936,0.11012297935376991,1.6227652597953959,2.3241732571285696,-0.05176432988227675,3.556352076175987,0.0122520675958039,,0.540084388185654,237,2019 calm bull
equal_weight,0.24172288824911514,0.12076601497608039,1.8837464542064193,2.6910336584753063,-0.08134919617738579,2.9714231929474373,0.01356531939191516,,0.569620253164557,237,2019 calm bull
buy_and_hold,0.24171315651193837,0.12070247724019749,1.8846195582015637,2.6822065691700265,-0.07906343504146685,3.0572053489095903,0.013561179099097199,,0.5780590717299579,237,2019 calm bull
minimum_variance,0.22475197803576785,0.08872672744637317,2.3709516739104597,3.512433582024522,-0.045463838059657924,4.94353287421196,0.008663498628692739,,0.5907172995780591,237,2019 calm bull
markowitz,0.09097892880640424,0.23958708626848474,0.5029927597169441,0.6461555988977868,-0.27693510066541915,0.32852075662420627,0.021489802750285426,,0.5675675675675675,259,2020 covid crash and recovery
hrp,-0.006023819640572636,0.26497056025111115,0.12774781208675323,0.1642027151983113,-0.33212175360207974,-0.01813738358069092,0.02877478604633479,,0.5135135135135135,259,2020 covid crash and recovery
xgb,-0.22849539887860004,0.3677862880657442,-0.5084790367603159,-0.687316958731803,-0.4040243360502145,-0.5655486031173165,0.03603131707093118,,0.47104247104247104,259,2020 covid crash and recovery
xgb_sentiment,-0.12689775087677713,0.3639404301422055,-0.1776817307961616,-0.2408436904942556,-0.39609684363629527,-0.3203705177547373,0.0350758781165596,,0.5212355212355212,259,2020 covid crash and recovery
equal_weight,0.006743895046311454,0.3059213637900124,0.19071129352613006,0.25173959198378315,-0.3639361627548843,0.01853043400595932,0.03377335480977713,,0.5212355212355212,259,2020 covid crash and recovery
buy_and_hold,0.011764870808110617,0.29327376651863646,0.20305038604085365,0.2647073342871199,-0.3590101930463574,0.03277029743440034,0.033198198570683915,,0.528957528957529,259,2020 covid crash and recovery
minimum_variance,-0.0026516243019034658,0.21688008350829516,0.11746371948680472,0.14877853398033966,-0.2849930061490301,-0.009304173241770235,0.01823546505565613,,0.5405405405405406,259,2020 covid crash and recovery
markowitz,0.30311099176565426,0.13273864097327748,2.1031872971242933,3.1924022832241827,-0.07670864162256419,3.9514582106286813,0.01249970669649975,,0.5791505791505791,259,2021 recovery bull
hrp,0.248661054281613,0.11187132474979644,2.090974616737368,3.046207491130088,-0.05488239311846865,4.530798315314994,0.011187943840207739,,0.5868725868725869,259,2021 recovery bull
xgb,0.2518604560593294,0.1519220783413905,1.5911831976763502,2.35029529855593,-0.0892437862062957,2.8221623797664686,0.01714130056757152,,0.5791505791505791,259,2021 recovery bull
xgb_sentiment,0.2065458232176436,0.15357356574643277,1.3354557048528486,1.9542114792516796,-0.09247431810404605,2.233547945552318,0.01668321017125691,,0.5444015444015444,259,2021 recovery bull
equal_weight,0.2851307501468392,0.13192655209552734,2.0101086009645286,2.875027293173148,-0.06303812312504753,4.523147835179527,0.01269116651358413,,0.61003861003861,259,2021 recovery bull
buy_and_hold,0.2891045715495357,0.13562949560313176,1.9816282413549853,2.850034441682651,-0.062147051175058476,4.651943512736809,0.01396420212104347,,0.61003861003861,259,2021 recovery bull
minimum_variance,0.2711586183818837,0.10029917731459097,2.4981345941784845,3.836742861736992,-0.06051297095009456,4.480999926536577,0.00901864385230592,,0.5637065637065637,259,2021 recovery bull
markowitz,-0.17744047975416344,0.1998834498837986,-0.8946953293864287,-1.2512100313534296,-0.23393122340264227,-0.7585155892112486,0.01978166881063836,,0.47674418604651164,258,2022 inflation bear
hrp,-0.08600049363192064,0.17229991864400887,-0.45598686396807153,-0.645233446294132,-0.17522416865646284,-0.49080269172530416,0.016853530018792553,,0.5116279069767442,258,2022 inflation bear
xgb,-0.18259444369998135,0.246182997964122,-0.710266412754731,-1.0030506880452372,-0.2653505350126172,-0.6881254024654563,0.023602054211608388,,0.4806201550387597,258,2022 inflation bear
xgb_sentiment,-0.1483222709293146,0.23921307541834455,-0.5663357716691015,-0.7984743700366883,-0.2562596605857793,-0.5787967977100548,0.025062608150358916,,0.5,258,2022 inflation bear
equal_weight,-0.056340508051203164,0.20661366202574724,-0.19435226396169344,-0.27545781298790517,-0.19072222784988802,-0.2954060923383674,0.020005259096022514,,0.5155038759689923,258,2022 inflation bear
