Date,Ticker,Actual,XGBoost,XGBoost+Sentiment,Markowitz (implied)
2019-01-31,ABBN.SW,0.03528374391307409,-0.02188384346663952,-0.018951380625367165,0.003681189297879923
2019-02-28,ABBN.SW,-0.03285971293834075,-0.026542391628026962,-0.019091174006462097,0.0038805614489053866
2019-03-29,ABBN.SW,0.09045578913880876,0.008559364825487137,0.005545729771256447,0.000384705421750558
2019-04-30,ABBN.SW,-0.07013286477607332,0.006051795091480017,0.006278668064624071,0.0029504336879076433
2019-05-31,ABBN.SW,0.08872426323926823,0.01788835972547531,0.01586240343749523,0.0024337519697161065
2019-06-28,ABBN.SW,-0.05642926198721085,0.0009638692135922611,0.001843554200604558,0.0011320950876772971
2019-07-31,ABBN.SW,0.0012836569040301188,0.008938843384385109,0.008063753135502338,-0.0006817303958022529
2019-08-30,ABBN.SW,0.050284242884922385,0.008228527382016182,0.007432988844811916,-0.001142657724426282
2019-09-30,ABBN.SW,0.05061073858603786,-0.000906580884475261,-0.0012350073084235191,-0.00013085593971229326
2019-10-31,ABBN.SW,0.05874346865829782,0.006691989954560995,0.004211970139294863,0.0020860982060305253
2019-11-29,ABBN.SW,0.07609427138500753,0.006247770506888628,0.0034603611566126347,0.0027664320395120643
2019-12-31,ABBN.SW,-0.012480662964355953,-0.00024185486836358905,0.0004895225283689797,0.0023384099091508207
2020-01-31,ABBN.SW,-0.07634829877980095,0.01591334491968155,0.013781625777482986,0.002893930301667958
2020-02-28,ABBN.SW,-0.16916702093416267,0.026896724477410316,0.032700665295124054,0.0006334775771442949
2020-03-31,ABBN.SW,0.07430560991273297,-0.07409840822219849,-0.06586320698261261,-0.005812655101769266
2020-04-30,ABBN.SW,0.022132327906588437,0.031494542956352234,0.03696582466363907,-0.003524672240760671
2020-05-29,ABBN.SW,0.11707833088742657,0.016405954957008362,0.015033354982733727,-0.0034020043710552006
2020-06-30,ABBN.SW,0.09831373503722451,-0.011346866376698017,-0.011841662228107452,0.003276866852161171
