date,markowitz,hrp,xgb,xgb_sentiment,equal_weight,buy_and_hold,minimum_variance
2019-02-01,0.0009872612325503584,0.0017903262647883827,0.0011077275665774783,0.0019320489634680046,0.001217285145961621,0.001217285145961621,0.0023316625242860425
2019-02-04,0.0008879419623940676,-0.0002727214949419806,0.0024329093761610446,0.00419110571610628,-0.001768130856235579,-0.001768130856235579,0.0019282065948407414
2019-02-05,0.008948895297371156,0.01487876961907987,0.01235797979777278,0.011953165618976198,0.014870632737772128,0.014870632737772128,0.012925607904174435
2019-02-06,0.006256917687860599,-0.0002045028868958762,-0.004916015192520842,-0.0019801382776768357,0.0028689866631355252,0.0028689866631355252,-0.001734847602370212
2019-02-07,-0.01725567162544476,-0.014521008828901456,-0.009393556104915265,-0.00978248671480093,-0.01843699613067547,-0.01843699613067547,-0.007963201228415737
2019-02-08,-0.0049750252361827115,-0.0030211367645781827,-0.0022654361642200846,-0.0014440109388052244,-0.005278935061217503,-0.005278935061217503,0.0013495008864505614
2019-02-11,0.012140801112573887,0.00801192131122636,0.0052253194466771406,0.006204601505703342,0.009059288010709654,0.009059288010709654,0.0044113384524367685
2019-02-12,0.012000563152516398,0.007257760110319571,0.008174792344089748,0.00887343280024988,0.008971296348147442,0.008971296348147442,0.005830702861248631
2019-02-13,0.0028896462242493765,0.002896682963234637,-0.002757060283436668,-0.004000429429354115,0.0033612892953884268,0.0033612892953884268,0.002115716785253621
2019-02-14,0.001283259920590651,0.00034417853326964063,-0.004582430078437465,-0.004927545150078203,-0.0020829843073524473,-0.0020829843073524473,0.004376585685058252
2019-02-15,0.011554204506168918,0.013545121609657769,0.008707706597144187,0.009454514913211622,0.01682452807382873,0.01682452807382873,0.008462680262741527
2019-02-18,-0.0006075021920376235,0.0018127074862158712,0.0021844444025139425,0.0012594567214300155,0.0019635216225410757,0.0019635216225410757,0.002667894344253437
2019-02-19,-0.0016417330776146207,-0.000649530909943508,-0.0023168981345932046,-0.0004168818290302134,-0.0010693866222431943,-0.0010693866222431943,-0.00011990174444209955
2019-02-20,0.008672582319045323,0.005442575523800258,0.003635899808851753,0.002393821627484651,0.005892223480979614,0.005892223480979614,0.003455924019278416
2019-02-21,0.004112537973528179,0.0018230779644570637,0.003820987034514562,0.0022648854883755257,-0.00027660503015982155,-0.00027660503015982155,0.004089221417512925
2019-02-22,0.007533952584207774,0.0025227204577108996,0.001560234342847049,0.0013786356083123022,0.0034696827784786136,0.0034696827784786136,0.0002188986922005636
2019-02-25,0.005342548835250966,0.0022692275868395045,0.0030980235481721154,0.004516896798695552,0.004780269943956796,0.004780269943956796,0.0012340387553831829
2019-02-26,-0.0015881125528849189,0.0033138085511444744,0.004450487991391442,0.0035715848076199484,0.0031238890545902155,0.0031238890545902155,0.0037480148162008222
2019-02-27,-0.00750462778539859,-0.005324147710301582,-0.008657070432997719,-0.008135848814485992,-0.0027256663219230306,-0.0027256663219230306,-0.008374996918715048
2019-02-28,-0.002393239080327265,0.0025961918982838846,0.003334115174238305,0.0035271717553153783,0.003079521816718129,0.003079521816718129,0.003985899506287641
2019-03-01,0.007044809858045113,0.004765466279334794,0.002353599346624908,0.0023132232669443873,0.004429150465563169,0.004504629343473794,0.006196046954420511
2019-03-04,0.0024916655374280445,0.0008761476663677474,0.00014053888782982577,0.0010807413151295861,0.0009409289531849066,0.0009279817884487727,-0.0026868104853212107
2019-03-05,0.002008907376815542,0.0031104920214220636,-0.0023946743174073533,-0.0017256010918855,0.0009945724020827085,0.0008342653854200029,0.004460893364814908
2019-03-06,-0.005159512228324799,-0.00034976073628525224,-0.001677770556936296,-0.00330971450120319,-0.000840829723464773,-0.0008669477246005139,0.0006159733810265063
2019-03-07,-0.0016919735707201652,-0.0024206846064861206,0.00576774309576179,0.011574868659106435,-0.006877768778448979,-0.007023470218766367,0.0009491253218646212
2019-03-08,-0.006184109871210753,-0.004938332572167894,-0.0015639579503542046,-0.0007080800511973788,-0.0067473069108652944,-0.006841402959200509,-0.000458695737672876
2019-03-11,0.006432781126888026,0.005749373332581502,0.001876171572344746,-5.9456170597563794e-05,0.007853431654948931,0.007942057957594948,0.0026435446440640003
2019-03-12,0.00310107571950046,-0.001003040696288384,-0.003789259252819088,-0.001236299516841165,-0.001379460897899234,-0.0013778964503885062,-0.0018658267575209113
2019-03-13,0.004498663999179556,0.005099896063021448,0.004228781483436934,0.0031781786491291808,0.006221830062401184,0.00623662787508319,0.005206635007366903
2019-03-14,0.0065558339297792055,0.0056181719833343705,0.008141687320595182,0.007880496284407157,0.004783946467454141,0.004827932306874144,0.007251287526833919
2019-03-15,0.01123576201297485,0.010901508892390555,0.00902080459977594,0.010414058344243641,0.012216243916657394,0.012216736381291284,0.008121233875908407
2019-03-18,-0.0004560782929558275,0.001289397226867769,-0.002502489555243794,-0.00018837676901127184,0.0020775995631900053,0.002053589251679865,0.002402230917119267
2019-03-19,0.007562326640183534,0.005569015364561991,0.006228089410513304,0.00653640164411091,0.00661010733573401,0.006588113166141772,0.0038904327416732264
2019-03-20,-0.008379607162525126,-0.006729285749307179,-0.004876245008628698,-0.001505934484523328,-0.008960959355827901,-0.00896575541226224,-0.0025970317932638926
2019-03-21,0.009679396133208173,0.0014296211736278639,0.004170903988054905,0.005834188623664575,-0.0001570372923162187,-0.00022727045656747676,0.003458208207542195
2019-03-22,-0.01227957172180921,-0.013148308989669939,-0.00966089807808442,-0.01172573074812481,-0.016824467071378493,-0.01696313687536013,-0.009228498904264068
