date,method,mom_5d,mom_10d,mom_20d,realized_vol_20d,ma_ratio_50_200,rsi_14d,relative_volume,sentiment_mean,sentiment_std,sentiment_max,headline_count
2019-01-31,xgb,0.09380763156528588,0.158157749197541,0.16217227370222553,0.1498751537506433,0.1878161600663996,0.1072043808623747,0.14096665085552998,,,,
2019-01-31,xgb_sentiment,0.058458793157004946,0.09836303263124939,0.11894459612122078,0.10423441371697442,0.12088746598142619,0.07601767983876903,0.0921645478189428,0.06117805754557804,0.07799989392988269,0.09540617191064892,0.09634534734830279
2019-02-28,xgb,0.09526333349296866,0.1229093866823995,0.15403931917733377,0.1577198353648895,0.18902856176554172,0.10504205979506749,0.17599750372179937,,,,
2019-02-28,xgb_sentiment,0.057402010955109495,0.08144093773358053,0.09935073493769879,0.10794379924217452,0.11131893576162535,0.06500566828683008,0.12004615090633396,0.06893336769602647,0.08932856292656774,0.09511518774206493,0.10411464381198815
2019-03-29,xgb,0.09115495267009582,0.13382425329797895,0.15481209131088525,0.15682516239868133,0.17742547142244952,0.11364077858341065,0.17231729031649848,,,,
2019-03-29,xgb_sentiment,0.05803977140577219,0.08097058792672569,0.10277041134557693,0.10396941003370422,0.10496693307899219,0.07533256669913471,0.11965192907111219,0.07070948025248563,0.09562102053402116,0.09080784601488373,0.09716004363759134
2019-04-30,xgb,0.09621567984420946,0.12137029809190998,0.15626726104455607,0.16524058119268117,0.17544629812276252,0.11426278163268272,0.17119710007119807,,,,
2019-04-30,xgb_sentiment,0.05979603008507179,0.0797141203357558,0.1003162834040679,0.11073079059352686,0.10689892927314235,0.07097308761796269,0.11350480545276916,0.06730150906816165,0.08865317357336865,0.09940450256520403,0.10270676803096913
2019-05-31,xgb,0.0953607070303809,0.1345716283289042,0.16238877444784017,0.15965230553722803,0.16580714490767934,0.1128028887585368,0.16941655098943054,,,,
2019-05-31,xgb_sentiment,0.06027043560734367,0.08623219971546643,0.10155904749000745,0.10596697378226408,0.10353816137118081,0.06985497595013888,0.10846597114016665,0.0771546507689181,0.10225976559853668,0.10113755843100061,0.08356026014497663
2019-06-28,xgb,0.09696942879771725,0.14113395254076666,0.160466216215364,0.1576540421121398,0.16211973413502204,0.11395580613404502,0.16770082006494524,,,,
2019-06-28,xgb_sentiment,0.06213989155608586,0.08829479754425233,0.10324279860405693,0.1100892240519991,0.10517012635227085,0.07402789042848382,0.10800182970327073,0.06473311679001333,0.10085584355305507,0.09544582157574658,0.08799865984076541
2019-07-31,xgb,0.09578146762549364,0.12873632436206947,0.16418972329891987,0.16754589091685834,0.1642756498969238,0.11745579460378563,0.16201514929594923,,,,
2019-07-31,xgb_sentiment,0.05724718635421536,0.09765405128474061,0.10521774000248527,0.11644167263456938,0.10700859573722377,0.0786683919023626,0.10526849619731464,0.07143851897570881,0.07748689264117876,0.08720513104502198,0.09636332322517882
2019-08-30,xgb,0.09668702386600907,0.13363319222261602,0.16482031834774613,0.16670006237485058,0.1659077065394359,0.11584808290131099,0.15640361374803136,,,,
2019-08-30,xgb_sentiment,0.062469828438750555,0.09228914221237021,0.10643035389484999,0.11336993945943814,0.10779659787219051,0.07588620088793616,0.1024554212336802,0.07044813258449288,0.08515057932028325,0.08973077459651643,0.09397302949949168
2019-09-30,xgb,0.08736002111940544,0.13626179243632047,0.1970832907233607,0.1664618536080113,0.15823542995347245,0.11355716638449972,0.14104044577492994,,,,
