date,strategy,ticker,weight
2019-01-31,markowitz,EXV6.DE,0.13499513816725917
2019-01-31,markowitz,MC.PA,0.11915520796156412
2019-01-31,markowitz,AIR.PA,0.08641336260689213
2019-01-31,markowitz,ASML.AS,0.037678985835693395
2019-01-31,markowitz,AD.AS,0.07054752354580389
2019-01-31,markowitz,WKL.AS,0.14999999999999916
2019-01-31,markowitz,NESN.SW,0.10648935675823837
2019-01-31,markowitz,ENEL.MI,0.1499999999999969
2019-01-31,markowitz,STMMI.MI,0.14472042512455296
2019-01-31,hrp,EXSA.DE,0.01896913602925967
2019-01-31,hrp,EXV1.DE,0.00764939612905958
2019-01-31,hrp,EXV4.DE,0.03363430991870733
2019-01-31,hrp,EXV3.DE,0.023438649921558478
2019-01-31,hrp,EXV2.DE,0.01779569088655086
2019-01-31,hrp,EXV6.DE,0.011174606345619793
2019-01-31,hrp,EXV7.DE,0.016197559028614368
2019-01-31,hrp,EXH7.DE,0.033175112327460274
2019-01-31,hrp,EXH8.DE,0.028442050482100738
2019-01-31,hrp,EXS1.DE,0.014730026794909952
2019-01-31,hrp,CAC.PA,0.015919282037997667
2019-01-31,hrp,EWI,0.013774634854673708
2019-01-31,hrp,EWP,0.022641964949857353
2019-01-31,hrp,EWN,0.020285303224236648
2019-01-31,hrp,EWL,0.02651918341265951
2019-01-31,hrp,SAP.DE,0.016071378504157175
2019-01-31,hrp,SIE.DE,0.011664873002989429
2019-01-31,hrp,BAS.DE,0.010794086105662614
2019-01-31,hrp,VOW3.DE,0.00748747914207997
2019-01-31,hrp,DTE.DE,0.015536376364904072
2019-01-31,hrp,ALV.DE,0.01110271477385639
2019-01-31,hrp,BMW.DE,0.009731190916666698
2019-01-31,hrp,MBG.DE,0.010141526109586116
2019-01-31,hrp,MUV2.DE,0.017247435793246637
2019-01-31,hrp,MC.PA,0.012675329173718029
2019-01-31,hrp,TTE.PA,0.01954522604353025
2019-01-31,hrp,OR.PA,0.023676554195606457
2019-01-31,hrp,SAN.PA,0.02337184723865707
2019-01-31,hrp,BNP.PA,0.006461140971450031
2019-01-31,hrp,AIR.PA,0.014032380864547268
2019-01-31,hrp,SU.PA,0.017431865766601926
2019-01-31,hrp,CAP.PA,0.010616498699985693
2019-01-31,hrp,AI.PA,0.01977118473234093
2019-01-31,hrp,ASML.AS,0.011815962931719616
2019-01-31,hrp,PHIA.AS,0.01660967891927319
2019-01-31,hrp,INGA.AS,0.006449688559437304
2019-01-31,hrp,HEIA.AS,0.03224712376937843
2019-01-31,hrp,AD.AS,0.03232065471505913
2019-01-31,hrp,WKL.AS,0.030769597651527137
2019-01-31,hrp,SAN.MC,0.004343256220368688
2019-01-31,hrp,IBE.MC,0.018520665820861742
2019-01-31,hrp,ITX.MC,0.018414247727363667
2019-01-31,hrp,TEF.MC,0.010468249375120512
2019-01-31,hrp,ENG.MC,0.02102867942272563
2019-01-31,hrp,BBVA.MC,0.005118400560927578
2019-01-31,hrp,NESN.SW,0.043437117929896886
2019-01-31,hrp,NOVN.SW,0.025199908259917924
2019-01-31,hrp,UBSG.SW,0.010100403750226682
2019-01-31,hrp,RO.SW,0.03184347179777642
2019-01-31,hrp,ABBN.SW,0.024305622977075822
2019-01-31,hrp,CFR.SW,0.015892232644979826
2019-01-31,hrp,HOLN.SW,0.01585192019749372
2019-01-31,hrp,ENI.MI,0.020007109350907926
2019-01-31,hrp,ISP.MI,0.004858783573005971
2019-01-31,hrp,UCG.MI,0.003349000076741696
2019-01-31,hrp,ENEL.MI,0.029465638629507043
2019-01-31,hrp,STMMI.MI,0.005876590395854572
2019-01-31,minimum_variance,EXV4.DE,0.12410594246091775
2019-01-31,minimum_variance,EXV7.DE,0.04748645546015663
2019-01-31,minimum_variance,EXH8.DE,0.08424317685094282
2019-01-31,minimum_variance,EWN,0.040880794331553005
2019-01-31,minimum_variance,EWL,0.15000000000000002
2019-01-31,minimum_variance,DTE.DE,0.012995117489768256
2019-01-31,minimum_variance,MUV2.DE,0.055737425866045937
2019-01-31,minimum_variance,HEIA.AS,0.09148487515146381
2019-01-31,minimum_variance,AD.AS,0.09461325380615691
2019-01-31,minimum_variance,WKL.AS,0.021120278263887394
2019-01-31,minimum_variance,ENG.MC,0.0854003412856363
2019-01-31,minimum_variance,NESN.SW,0.1389084221541769
2019-01-31,minimum_variance,RO.SW,0.053023916879294385
2019-01-31,xgb,SAN.PA,0.14999999999981053
2019-01-31,xgb,AI.PA,0.14999999999981053
2019-01-31,xgb,AD.AS,0.13820691823196213
2019-01-31,xgb,ENG.MC,0.14999999999981053
2019-01-31,xgb,NESN.SW,0.057648132326211556
2019-01-31,xgb,NOVN.SW,0.14999999999981053
2019-01-31,xgb,RO.SW,0.08427384684309876
2019-01-31,xgb,CFR.SW,0.11987110259948548
2019-01-31,xgb_sentiment,MUV2.DE,0.12479025377256729
2019-01-31,xgb_sentiment,SAN.PA,0.15000000000096575
2019-01-31,xgb_sentiment,AD.AS,0.15000000000096575
2019-01-31,xgb_sentiment,ENG.MC,0.13999913202225234
2019-01-31,xgb_sentiment,NOVN.SW,0.15000000000096575
2019-01-31,xgb_sentiment,RO.SW,0.15000000000096575
2019-01-31,xgb_sentiment,CFR.SW,0.13521061420131744
2019-01-31,equal_weight,EXSA.DE,0.017543859649122806
2019-01-31,equal_weight,EXV1.DE,0.017543859649122806
2019-01-31,equal_weight,EXV4.DE,0.017543859649122806
2019-01-31,equal_weight,EXV3.DE,0.017543859649122806
2019-01-31,equal_weight,EXV2.DE,0.017543859649122806
2019-01-31,equal_weight,EXV6.DE,0.017543859649122806
2019-01-31,equal_weight,EXV7.DE,0.017543859649122806
2019-01-31,equal_weight,EXH7.DE,0.017543859649122806
2019-01-31,equal_weight,EXH8.DE,0.017543859649122806
2019-01-31,equal_weight,EXS1.DE,0.017543859649122806
2019-01-31,equal_weight,CAC.PA,0.017543859649122806
2019-01-31,equal_weight,EWI,0.017543859649122806
2019-01-31,equal_weight,EWP,0.017543859649122806
2019-01-31,equal_weight,EWN,0.017543859649122806
2019-01-31,equal_weight,EWL,0.017543859649122806
2019-01-31,equal_weight,SAP.DE,0.017543859649122806
2019-01-31,equal_weight,SIE.DE,0.017543859649122806
2019-01-31,equal_weight,BAS.DE,0.017543859649122806
2019-01-31,equal_weight,VOW3.DE,0.017543859649122806
2019-01-31,equal_weight,DTE.DE,0.017543859649122806
2019-01-31,equal_weight,ALV.DE,0.017543859649122806
2019-01-31,equal_weight,BMW.DE,0.017543859649122806
2019-01-31,equal_weight,MBG.DE,0.017543859649122806
2019-01-31,equal_weight,MUV2.DE,0.017543859649122806
2019-01-31,equal_weight,MC.PA,0.017543859649122806
2019-01-31,equal_weight,TTE.PA,0.017543859649122806
2019-01-31,equal_weight,OR.PA,0.017543859649122806
2019-01-31,equal_weight,SAN.PA,0.017543859649122806
2019-01-31,equal_weight,BNP.PA,0.017543859649122806
2019-01-31,equal_weight,AIR.PA,0.017543859649122806
2019-01-31,equal_weight,SU.PA,0.017543859649122806
2019-01-31,equal_weight,CAP.PA,0.017543859649122806
2019-01-31,equal_weight,AI.PA,0.017543859649122806
2019-01-31,equal_weight,ASML.AS,0.017543859649122806
2019-01-31,equal_weight,PHIA.AS,0.017543859649122806
2019-01-31,equal_weight,INGA.AS,0.017543859649122806
2019-01-31,equal_weight,HEIA.AS,0.017543859649122806
2019-01-31,equal_weight,AD.AS,0.017543859649122806
2019-01-31,equal_weight,WKL.AS,0.017543859649122806
2019-01-31,equal_weight,SAN.MC,0.017543859649122806
2019-01-31,equal_weight,IBE.MC,0.017543859649122806
2019-01-31,equal_weight,ITX.MC,0.017543859649122806
2019-01-31,equal_weight,TEF.MC,0.017543859649122806
2019-01-31,equal_weight,ENG.MC,0.017543859649122806
2019-01-31,equal_weight,BBVA.MC,0.017543859649122806
2019-01-31,equal_weight,NESN.SW,0.017543859649122806
2019-01-31,equal_weight,NOVN.SW,0.017543859649122806
2019-01-31,equal_weight,UBSG.SW,0.017543859649122806
2019-01-31,equal_weight,RO.SW,0.017543859649122806
2019-01-31,equal_weight,ABBN.SW,0.017543859649122806
2019-01-31,equal_weight,CFR.SW,0.017543859649122806
2019-01-31,equal_weight,HOLN.SW,0.017543859649122806
2019-01-31,equal_weight,ENI.MI,0.017543859649122806
2019-01-31,equal_weight,ISP.MI,0.017543859649122806
2019-01-31,equal_weight,UCG.MI,0.017543859649122806
2019-01-31,equal_weight,ENEL.MI,0.017543859649122806
2019-01-31,equal_weight,STMMI.MI,0.017543859649122806
2019-02-28,markowitz,EXV6.DE,0.1051731726173945
2019-02-28,markowitz,MC.PA,0.14999999999999822
2019-02-28,markowitz,AIR.PA,0.13955668767397408
2019-02-28,markowitz,ASML.AS,0.00499303122042296
2019-02-28,markowitz,AD.AS,0.06391596542540473
2019-02-28,markowitz,WKL.AS,0.14999999999999822
2019-02-28,markowitz,NESN.SW,0.14999999999999822
2019-02-28,markowitz,ENEL.MI,0.08636114306281195
2019-02-28,markowitz,STMMI.MI,0.14999999999999694
2019-02-28,hrp,EXSA.DE,0.019206539910821857
2019-02-28,hrp,EXV1.DE,0.007737411995479207
2019-02-28,hrp,EXV4.DE,0.03414510197170005
2019-02-28,hrp,EXV3.DE,0.023212547813908125
2019-02-28,hrp,EXV2.DE,0.01800730991244748
2019-02-28,hrp,EXV6.DE,0.012027190385350106
2019-02-28,hrp,EXV7.DE,0.01618558207788155
2019-02-28,hrp,EXH7.DE,0.03322050668668697
