date,turnover,cost,strategy
2019-01-31,1.0,0.0015,markowitz
2019-02-28,0.24805714122461867,0.000372085711836928,markowitz
2019-03-29,0.2827022354963635,0.00042405335324454524,markowitz
2019-04-30,0.2789109643635881,0.00041836644654538215,markowitz
2019-05-31,0.4925651408509745,0.0007388477112764618,markowitz
2019-06-28,0.1859053191169056,0.0002788579786753584,markowitz
2019-07-31,0.2138167686507537,0.0003207251529761305,markowitz
2019-08-30,0.24864226353109187,0.0003729633952966378,markowitz
2019-09-30,0.21151779522290978,0.00031727669283436466,markowitz
2019-10-31,0.19217125883800928,0.0002882568882570139,markowitz
2019-11-29,0.13657565643942077,0.00020486348465913117,markowitz
2019-12-31,0.18563013243274246,0.0002784451986491137,markowitz
2020-01-31,0.17277168767705292,0.00025915753151557936,markowitz
2020-02-28,0.3003635364325724,0.0004505453046488586,markowitz
2020-03-31,0.2961803448619832,0.0004442705172929748,markowitz
2020-04-30,0.2378831821662229,0.00035682477324933435,markowitz
2020-05-29,0.1222506072497406,0.0001833759108746109,markowitz
2020-06-30,0.06716095279050788,0.00010074142918576182,markowitz
2020-07-31,0.3631745010192414,0.0005447617515288622,markowitz
2020-08-31,0.2164244762131335,0.00032463671431970023,markowitz
2020-09-30,0.07392073447081006,0.00011088110170621509,markowitz
2020-10-30,0.08960702263683641,0.0001344105339552546,markowitz
2020-11-30,0.2745207736593701,0.00041178116048905516,markowitz
2020-12-31,0.15019627872674046,0.0002252944180901107,markowitz
2021-01-29,0.18370586950398726,0.0002755588042559809,markowitz
2021-02-26,0.22576263429898588,0.00033864395144847883,markowitz
2021-03-31,0.19260266263429354,0.00028890399395144033,markowitz
2021-04-30,0.1773293803680248,0.0002659940705520372,markowitz
2021-05-31,0.1386502424319843,0.00020797536364797645,markowitz
2021-06-30,0.1496520228937842,0.0002244780343406763,markowitz
2021-07-30,0.1832201746170083,0.0002748302619255124,markowitz
2021-08-31,0.4661676759999104,0.0006992515139998656,markowitz
2021-09-30,0.31614209817782385,0.0004742131472667358,markowitz
2021-10-29,0.20965744867863956,0.00031448617301795933,markowitz
2021-11-30,0.31103263004941273,0.0004665489450741191,markowitz
2021-12-31,0.21729393503902755,0.00032594090255854135,markowitz
2022-01-31,0.2938860723456499,0.00044082910851847486,markowitz
2022-02-28,0.39151395813503514,0.0005872709372025527,markowitz
2022-03-31,0.4147884021162773,0.000622182603174416,markowitz
2022-04-29,0.3058703029280777,0.00045880545439211655,markowitz
2022-05-31,0.525843808831165,0.0007887657132467476,markowitz
2022-06-30,0.31838645278651134,0.000477579679179767,markowitz
2022-07-29,0.41222988884891026,0.0006183448332733654,markowitz
2022-08-31,0.36363836869969807,0.0005454575530495471,markowitz
2022-09-30,0.339363645081073,0.0005090454676216095,markowitz
2022-10-31,0.32685247736434614,0.0004902787160465192,markowitz
2022-11-30,0.37839900851581804,0.000567598512773727,markowitz
2022-12-30,0.3330329793001998,0.0004995494689502998,markowitz
2023-01-31,0.3831141297765047,0.0005746711946647571,markowitz
2023-02-28,0.7068076474377781,0.0010602114711566672,markowitz
2023-03-31,0.3103259894837367,0.00046548898422560505,markowitz
2023-04-28,0.3482139875209104,0.0005223209812813656,markowitz
2023-05-31,0.29048932904056357,0.00043573399356084536,markowitz
2023-06-30,0.29144186134471795,0.0004371627920170769,markowitz
2023-07-31,0.351598459927547,0.0005273976898913205,markowitz
2023-08-31,0.4630816352021117,0.0006946224528031676,markowitz
2023-09-29,0.3576324279519819,0.0005364486419279729,markowitz
2023-10-31,0.3841026241344464,0.0005761539362016696,markowitz
2023-11-30,0.40255187164897926,0.0006038278074734689,markowitz
2023-12-29,0.18768844755042458,0.0002815326713256369,markowitz
2024-01-31,0.38010262601829514,0.0005701539390274427,markowitz
2024-02-29,0.5418061186304348,0.0008127091779456522,markowitz
2024-03-28,0.37258208659369374,0.0005588731298905406,markowitz
2024-04-30,0.32467126040239014,0.00048700689060358524,markowitz
2024-05-31,0.21969295173301875,0.00032953942759952816,markowitz
2024-06-28,0.28280250235580173,0.0004242037535337026,markowitz
2024-07-31,0.20921238333812464,0.000313818575007187,markowitz
2024-08-30,0.34119302381548683,0.0005117895357232302,markowitz
2024-09-30,0.43893299746298664,0.00065839949619448,markowitz
2024-10-31,0.27705070576233226,0.0004155760586434984,markowitz
2024-11-29,0.24232904798873464,0.000363493571983102,markowitz
2024-12-31,0.23050043921734986,0.0003457506588260248,markowitz
2025-01-31,0.19009742219317838,0.0002851461332897676,markowitz
2025-02-28,0.2907833749003862,0.0004361750623505793,markowitz
2025-03-31,0.2012457392210104,0.00030186860883151564,markowitz
2025-04-30,0.26194436410230837,0.00039291654615346256,markowitz
2025-05-30,0.3023167089047668,0.0004534750633571502,markowitz
2025-06-30,0.36745434553225004,0.0005511815182983751,markowitz
2025-07-31,0.1539073797168437,0.00023086106957526556,markowitz
2025-08-29,0.33120443678286693,0.0004968066551743004,markowitz
2025-09-30,0.41963513143629294,0.0006294526971544394,markowitz
2025-10-31,0.38725042319726133,0.000580875634795892,markowitz
2025-11-28,0.1279522398859422,0.0001919283598289133,markowitz
2019-01-31,0.9999999999999997,0.0014999999999999996,hrp
2019-02-28,0.09053481282056466,0.000135802219230847,hrp
2019-03-29,0.07308350405850964,0.00010962525608776446,hrp
2019-04-30,0.1459464414508515,0.00021891966217627725,hrp
2019-05-31,0.22744185473069065,0.000341162782096036,hrp
