Ticker,Observations,XGBoost MAE,XGBoost+Sentiment MAE,Markowitz MAE,Sentiment MAE improvement
ABBN.SW,83,0.054505434266888766,0.05475153277638649,0.052046979061127624,-0.00024609850949772194
AD.AS,83,0.03763069043445636,0.03761414381175577,0.0369325795485579,1.6546622700591707e-05
AI.PA,83,0.038226170236985206,0.038440855429025485,0.03726806304724654,-0.0002146851920402787
AIR.PA,83,0.06984798406325765,0.07055868369979836,0.06676699235783332,-0.0007106996365407042
ALV.DE,83,0.050607597136261576,0.04993897547886393,0.048854536444603545,0.0006686216573976445
ASML.AS,83,0.08053737343072942,0.08009201995912499,0.07502826318403359,0.0004453534716044316
BAS.DE,83,0.06420075187064789,0.06412446828875358,0.0631255068958659,7.628358189430695e-05
BBVA.MC,83,0.07544239546773038,0.07491890770009094,0.06965043505469605,0.0005234877676394412
BMW.DE,83,0.07129416581352635,0.07141750505126736,0.06941911080151993,-0.00012333923774100752
BNP.PA,83,0.07859375454908656,0.07792456135939434,0.07715315445710672,0.0006691931896922187
CAC.PA,83,0.03607325215624697,0.03601034296464291,0.03572976177631273,6.290919160405889e-05
CAP.PA,83,0.06872439754003541,0.06898047996475129,0.06538845149515551,-0.0002560824247158783
CFR.SW,83,0.0693741284911915,0.06911498946685424,0.0682079828172934,0.0002591390243372599
DTE.DE,83,0.04205760963833476,0.04249242747574118,0.04335370186711625,-0.00043481783740641905
ENEL.MI,83,0.04855195402120939,0.049011800148770275,0.04778644121378194,-0.00045984612756088533
ENG.MC,83,0.04127802211268057,0.04133234272587148,0.04224579991871828,-5.4320613190911304e-05
ENI.MI,83,0.05736999862046414,0.05743924642787458,0.05694937407170918,-6.92478074104455e-05
EWI,83,0.039598207854161696,0.03995678913639037,0.03946381178638076,-0.00035858128222867464
EWL,83,0.031362133953834755,0.03130464142007467,0.029553198568252143,5.749253376008401e-05
EWN,83,0.04329186146231717,0.04331631740870792,0.04135876694751089,-2.4455946390750105e-05
EWP,83,0.037479707020759194,0.03734253007322622,0.03661892721206875,0.0001371769475329715
EXH7.DE,83,0.036605136945923086,0.03629912246118843,0.035846471635699886,0.0003060144847346555
EXH8.DE,83,0.050162580308682925,0.050229999555605885,0.0492078135956194,-6.741924692296036e-05
EXS1.DE,83,0.03896591139337359,0.03921978691514264,0.03834677805724373,-0.0002538755217690522
EXSA.DE,83,0.032856154677030826,0.0328385527476163,0.03249579255993863,1.7601929414523543e-05
EXV1.DE,83,0.057104452361394845,0.05759341454714138,0.05349825328317885,-0.0004889621857465387
EXV2.DE,83,0.029858463496607465,0.02955931878007171,0.031410854101849836,0.00029914471653575553
EXV3.DE,83,0.05699121912437208,0.056700529114075575,0.05048090388739812,0.00029069001029650293
EXV4.DE,83,0.03115181313040158,0.0313707840743706,0.029760500151067723,-0.0002189709439690199
EXV6.DE,83,0.05628227609253127,0.05697722866379878,0.05709186512549125,-0.0006949525712675042
EXV7.DE,83,0.038095592218047265,0.03819360079560846,0.03794009062563862,-9.800857756119691e-05
HEIA.AS,83,0.04768738817816361,0.04792082760367063,0.04612035066380532,-0.00023343942550701352
HOLN.SW,83,0.05537147974298574,0.0557213185362962,0.05271085085929818,-0.0003498387933104641
IBE.MC,83,0.04563273186144261,0.04594827718358299,0.04233920912752301,-0.0003155453221403842
INGA.AS,83,0.08121611412431057,0.08038855277836808,0.07853125504302087,0.0008275613459424874
ISP.MI,83,0.067673129330823,0.06786071105358978,0.0639249762170068,-0.0001875817227667692
ITX.MC,83,0.06153567888946914,0.05981362349819334,0.05781639311915801,0.0017220553912758035
MBG.DE,83,0.06889566748380313,0.0686913080504874,0.06708868348101779,0.0002043594333157317
MC.PA,83,0.06109103119067914,0.06061306599409494,0.05593375596183658,0.0004779651965842041
MUV2.DE,83,0.051519153674160156,0.0515172216384669,0.04823086824685595,1.932035693257006e-06
NESN.SW,83,0.03869909101022808,0.03869998351328961,0.03671693875163511,-8.925030615322682e-07
NOVN.SW,83,0.03639330619745563,0.036612693228739245,0.0359465129404224,-0.00021938703128361603
OR.PA,83,0.04611763806011908,0.046122312394069075,0.04381215418272469,-4.674333949995779e-06
PHIA.AS,83,0.07335334065349632,0.07298634725179037,0.06797435416197653,0.0003669934017059423
RO.SW,83,0.045971767344815964,0.04615803917996605,0.0442528559045365,-0.00018627183515008278
SAN.MC,83,0.07905993560859935,0.0790554812316657,0.0710805387215633,4.454376933651916e-06
SAN.PA,83,0.04514012440238339,0.04538079546706611,0.04241058000079457,-0.0002406710646827223
SAP.DE,83,0.062395465107024185,0.06209822681398061,0.05873469926610129,0.0002972382930435738
SIE.DE,83,0.06305688377954792,0.06242805000808415,0.06089209278488212,0.0006288337714637701
STMMI.MI,83,0.09383480104128024,0.0940970931693828,0.0866622593587779,-0.0002622921281025675
SU.PA,83,0.06060000790767217,0.060824846538051876,0.055464775630596805,-0.0002248386303797048
TEF.MC,83,0.05280964154772189,0.05271274000504042,0.053046495364781954,9.690154268147261e-05
TTE.PA,83,0.05312655321701547,0.05259607747946894,0.05425290575303634,0.0005304757375465263
UBSG.SW,83,0.0606127694303629,0.0605672702769072,0.06135636156857785,4.5499153455703933e-05
UCG.MI,83,0.08428124835691801,0.08561151235475692,0.0808981996523452,-0.001330263997838907
VOW3.DE,83,0.07285479351595137,0.07308982592708366,0.06755879623975794,-0.000235032411132291
WKL.AS,83,0.0514790402879285,0.05149661880726506,0.0483973239537351,-1.757851933656407e-05
